Destroy Activity,destroy-44,12,"['demolish', 'devastate', 'annihilate', 'exterminate', 'ruin', 'wreck', 'ravage', 'decimate', 'extirpate', 'destroy', 'waste', 'raze']"
Communicate With Instrument,instr_communication-37.4.1,11,"['satellite', 'netmail', 'cable', 'signal', 'telecast', 'telex', 'wireless', 'radio', 'telegraph', 'semaphore', 'modem']"
Dislike Activity,admire-31.2,11,"['pity', 'execrate', 'despise', 'disdain', 'resent', 'detest', 'dread', 'dislike', 'hate', 'abhor', 'loathe']"
Cause Confusion State,amuse-31.1,11,"['confound', 'perplex', 'bewilder', 'discombobulate', 'befuddle', 'puzzle', 'flummox', 'confuse', 'baffle', 'fuddle', 'boggle']"
Create Activity,build-26.1,11,"['fashion', 'develop', 'carve', 'make', 'cast', 'shape', 'build', 'forge', 'churn', 'mold', 'grow']"
Appreciate Activity,admire-31.2,11,"['enjoy', 'love', 'prize', 'savor', 'treasure', 'appreciate', 'fancy', 'adore', 'cherish', 'relish', 'like']"
Change of Physical Constitution,other_cos-45.4,11,"['gasify', 'vaporize', 'curdle', 'liquefy', 'condense', 'evaporate', 'volatilize', 'congeal', 'melt', 'crystallize', 'coagulate']"
Dance Activity,waltz-51.5,11,"['jig', 'waltz', 'pirouette', 'bop', 'tapdance', 'boogie', 'polka', 'cancan', 'dance', 'jive', 'quickstep']"
Name Activity,dub-29.3,11,"['rename', 'term', 'anoint', 'brand', 'christen', 'label', 'consecrate', 'baptize', 'call', 'nickname', 'name']"
Cause Decrease Intensity Activity,other_cos-45.4,11,"['loosen', 'dilute', 'dampen', 'thin', 'ease', 'devalue', 'weaken', 'dissipate', 'moderate', 'dull', 'cool']"
Battle Activity,battle-36.4,10,"['box', 'duel', 'wrestle', 'combat', 'fence', 'spar', 'feud', 'battle', 'skirmish', 'war']"
Cause Privative Possession,deprive-10.6.2,10,"['drain', 'sap', 'denude', 'depopulate', 'deprive', 'deplete', 'dispossess', 'divest', 'rid', 'despoil']"
Negative Expression,judgment-33.1,10,"['reprove', 'belittle', 'scold', 'chide', 'insult', 'lambaste', 'rebuke', 'berate', 'backbite', 'reproach']"
Remove Activity,remove-10.1,10,"['excise', 'eject', 'abstract', 'remove', 'dislodge', 'eliminate', 'discharge', 'uproot', 'subtract', 'eradicate']"
Cause Cognitive State,amuse-31.1,10,"['console', 'tantalize', 'overwhelm', 'mesmerize', 'humble', 'pique', 'arouse', 'lull', 'galvanize', 'transport']"
Acquire Activity,get-13.5.1,10,"['earn', 'secure', 'get', 'gather', 'procure', 'take', 'gain', 'pick', 'fetch', 'attain']"
See Activity,peer-30.3,10,"['stare', 'peek', 'leer', 'gape', 'gaze', 'ogle', 'peer', 'glance', 'peep', 'look']"
Deceive Activity,trick-59.2,9,"['fool', 'mislead', 'cheat', 'dupe', 'deceive', 'hoodwink', 'cozen', 'bamboozle', 'delude']"
Privative Allow Activity,forbid-64.4,9,"['prevent', 'bar', 'prohibit', 'forbid', 'preclude', 'stop', 'keep', 'restrain', 'ban']"
Desire Activity,long-32.2,9,"['hunger', 'pray', 'wish', 'yearn', 'long', 'crave', 'thirst', 'ache', 'hope']"
Causation Activity,engender-27.1,9,"['spawn', 'prompt', 'engender', 'beget', 'incite', 'elicit', 'trigger', 'provoke', 'cause']"
Disrespect Activity,judgment-33.1,9,"['gibe', 'ridicule', 'slander', 'denigrate', 'malign', 'defame', 'disparage', 'mock', 'deride']"
Cause Decrease Size Activity,other_cos-45.4,9,"['abbreviate', 'abridge', 'lessen', 'condense', 'shorten', 'constrict', 'narrow', 'shrink', 'compress']"
Increase Activity,other_cos-45.4,9,"['proliferate', 'widen', 'broaden', 'lengthen', 'increase', 'accelerate', 'inflate', 'grow', 'expand']"
Give Activity,future_having-13.3,9,"['accord', 'apportion', 'extend', 'grant', 'offer', 'reallocate', 'allocate', 'assign', 'allot']"
Acquire with Force,steal-10.5,9,"['extort', 'confiscate', 'nab', 'seize', 'wrest', 'commandeer', 'sequester', 'grab', 'pirate']"
Cause to Join Activity,tape-22.4,9,"['weld', 'cement', 'strap', 'link', 'connect', 'bond', 'yoke', 'glue', 'bolt']"
Touch Activity,touch-20,8,"['pet', 'tweak', 'tickle', 'rub', 'stroke', 'caress', 'touch', 'massage']"
Know Activity,comprehend-87.2,8,"['apprehend', 'recognize', 'appreciate', 'comprehend', 'recognise', 'grasp', 'follow', 'realize']"
Talk Activity,chit_chat-37.6,8,"['yak', 'chitchat', 'converse', 'confer', 'discuss', 'chat', 'gab', 'schmooze']"
Have Position Relation,spatial_configuration-47.6,8,"['perch', 'crouch', 'sit', 'slouch', 'lean', 'stoop', 'stand', 'kneel']"
Move As In Curve Activity,coil-9.6,8,"['whirl', 'rotate', 'twist', 'twirl', 'swirl', 'coil', 'curl', 'wind']"
Expressive Speech Act,manner_speaking-37.3,8,"['babble', 'twitter', 'cry', 'shout', 'croon', 'yell', 'grunt', 'croak']"
Superiority State,exceed-90,8,"['outweigh', 'transcend', 'exceed', 'top', 'outnumber', 'outshine', 'outstrip', 'outdo']"
Eat Activity,chew-39.2,8,"['chew', 'gnaw', 'nibble', 'munch', 'chomp', 'slurp', 'masticate', 'peck']"
Living Entity Relational Process,hiccup-40.1.1,8,"['snuff', 'snuffle', 'sniffle', 'yawn', 'belch', 'fart', 'burp', 'sneeze']"
Decrease Size Activity,other_cos-45.4,8,"['abbreviate', 'abridge', 'compress', 'shorten', 'lessen', 'constrict', 'narrow', 'shrink']"
Cause Change Physical State,bend-45.2,8,"['rumple', 'unfurl', 'crease', 'fold', 'bend', 'unfold', 'crinkle', 'crumple']"
Cause Improve Activity,other_cos-45.4,8,"['advance', 'purify', 'refine', 'ameliorate', 'freshen', 'modernize', 'sharpen', 'improve']"
Avoid Activity,avoid-52,7,"['dodge', 'avoid', 'sidestep', 'evade', 'boycott', 'elude', 'circumvent']"
Compute Activity,multiply-108,7,"['count', 'deduct', 'sum', 'add', 'multiply', 'subtract', 'average']"
Cause Free State,free-10.6.3,7,"['acquit', 'absolve', 'free', 'release', 'liberate', 'emancipate', 'exonerate']"
Believe Activity,conjecture-29.5,7,"['guess', 'believe', 'feel', 'presume', 'hold', 'trust', 'infer']"
Separate Activity,separate-23.1,7,"['disconnect', 'divide', 'disassociate', 'separate', 'dissociate', 'part', 'sever']"
Move Activity,substance_emission-43.4,7,"['stream', 'spout', 'drip', 'gush', 'trickle', 'dribble', 'ooze']"
Come in Contact Activity,bump-18.4,7,"['knock', 'hit', 'smash', 'collide', 'smack', 'slam', 'thump']"
Hold Activity,hold-15.1,7,"['grip', 'clutch', 'wield', 'grasp', 'grab', 'hold', 'clasp']"
Use Activity,use-105.1,7,"['use', 'reuse', 'exert', 'utilize', 'employ', 'exploit', 'apply']"
Walk Activity,run-51.3.2,6,"['trek', 'tread', 'trudge', 'toil', 'amble', 'saunter']"
Mental Process,focus-87.1,6,"['ponder', 'muse', 'reflect', 'contemplate', 'meditate', 'think']"
Travel Activity,run-51.3.2,6,"['tootle', 'travel', 'hitchhike', 'journey', 'roam', 'trip']"
Increase Size Activity,other_cos-45.4,6,"['augment', 'dilate', 'double', 'burst', 'deepen', 'fatten']"
Investigate Activity,assessment-34.1,6,"['scrutinize', 'inspect', 'investigate', 'research', 'examine', 'survey']"
Create Representational Artifact,image_impression-25.1,6,"['stipple', 'incise', 'imprint', 'engrave', 'etch', 'inscribe']"
Smile Activity,nonverbal_expression-40.2,6,"['giggle', 'smirk', 'chuckle', 'laugh', 'smile', 'grin']"
Turn Into Mass Substance,carve-21.2,6,"['pulverize', 'grind', 'crush', 'shred', 'grate', 'mill']"
Fastness Marker,run-51.3.2,6,"['hasten', 'flit', 'zoom', 'whiz', 'hurry', 'speed']"
Advice Activity,advise-37.9,6,"['counsel', 'alert', 'warn', 'admonish', 'caution', 'advise']"
Exaggerate Activity,overstate-37.12,6,"['overdraw', 'magnify', 'overstate', 'hyperbolize', 'overemphasize', 'overstress']"
Clean Activity,wipe_manner-10.4.1,6,"['soak', 'wash', 'flush', 'dust', 'polish', 'rinse']"
Cause Denoted Containment Relation,pocket-9.10,6,"['box', 'bottle', 'house', 'bag', 'can', 'file']"
Cause Attention State,amuse-31.1,6,"['amuse', 'preoccupy', 'engross', 'occupy', 'interest', 'captivate']"
Cause Leave Activity,banish-10.2,6,"['expel', 'extradite', 'evacuate', 'exile', 'deport', 'banish']"
Cause Increase Intensity Activity,other_cos-45.4,6,"['tighten', 'escalate', 'heighten', 'strengthen', 'intensify', 'amplify']"
Murder Activity,murder-42.1,6,"['execute', 'murder', 'slay', 'kill', 'immolate', 'assassinate']"
Cause to Separate Activity,separate-23.1,6,"['disconnect', 'divide', 'separate', 'divorce', 'part', 'sever']"
Sing Activity,performance-26.7,6,"['chant', 'intone', 'whistle', 'hum', 'sing', 'belt']"
Defeat Activity,exceed-90,6,"['outsmart', 'overreach', 'outwit', 'surpass', 'outmatch', 'overcome']"
Mental Creation Process,create-26.4,5,"['improvise', 'coin', 'concoct', 'invent', 'formulate']"
Cause Amass Activity,herd-47.5.2,5,"['amass', 'collect', 'gather', 'group', 'mass']"
Leave Activity,escape-51.1,5,"['go', 'recede', 'decamp', 'withdraw', 'retreat']"
Worsen Activity,other_cos-45.4,5,"['coarsen', 'worsen', 'degrade', 'degenerate', 'deteriorate']"
Event Process,occur-48.3,5,"['occur', 'transpire', 'befall', 'happen', 'ensue']"
Congregate Activity,herd-47.5.2,5,"['assemble', 'mass', 'congregate', 'group', 'gather']"
